NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Alamat_lengkap
SPPG Pidie Glumpang Tiga Blang Drang,"Jalan Kuala Tari, Mukim Teupin Raya, Gampong Blang Drang, Kecamatan Glumpang Tiga, Kabupaten Pidie, Provinsi Aceh",21-08-2025,ACEH,Wilayah I,Dinda Rizkina,,"Pidie Glumpang Tiga Blang Drang Jalan Kuala Tari, Mukim Teupin Raya, Gampong Blang Drang, Kecamatan Glumpang Tiga, Kabupaten Pidie, Provinsi Aceh ACEH"
SPPG Pidie Grong-grong Grong-grong,"Jl. Medan Banda Aceh  No. 6, 7 Dan 8 Gp. Grong-Grong Kec. Grong-Grong Kab. Pidie, Grong-Grong, Grong-Grong, Kab. Pidie, Aceh",06-08-2025,ACEH,Wilayah I,Abdul Muthaleb,,"Pidie Grong-grong Grong-grong Jl. Medan Banda Aceh  No. 6, 7 Dan 8 Gp. Grong-Grong Kec. Grong-Grong Kab. Pidie, Grong-Grong, Grong-Grong, Kab. Pidie, Aceh ACEH"
SPPG Pidie Mutiara Timur Jiem,"`Jl. Beureunuen Kembang	 Tanjung, Gampong Jiem, Kecamatan Mutiara Timur, Kabupaten Pidie, Desa/Kelurahan Jiem, Kec. Mutiara Timur, Kab. Pidie,	Provinsi	Aceh`",03-09-2025,ACEH,Wilayah I,Miftahuddin,,"Pidie Mutiara Timur Jiem `Jl. Beureunuen Kembang	 Tanjung, Gampong Jiem, Kecamatan Mutiara Timur, Kabupaten Pidie, Desa/Kelurahan Jiem, Kec. Mutiara Timur, Kab. Pidie,	Provinsi	Aceh` ACEH"
SPPG Pinrang Paleteang Laleng Bata,"Jl. A. Johan No. 150, Kelurahan Laleng Bata, Kecamatan Paleteang, Kabupaten Pinrang, Sulawesi Selatan, Laleng Bata, Paleteang, Kab. Pinrang, Sulawesi Selatan",09-09-2025,SULAWESI SELATAN,Wilayah III,Nursuciyani Jamal,,"Pinrang Paleteang Laleng Bata Jl. A. Johan No. 150, Kelurahan Laleng Bata, Kecamatan Paleteang, Kabupaten Pinrang, Sulawesi Selatan, Laleng Bata, Paleteang, Kab. Pinrang, Sulawesi Selatan SULAWESI SELATAN"
SPPG Polda Sumsel,"Komplek Perumahan Polri Pakri, Jalan Pakri V, Gedung Bundar.",18-08-2025,SUMATERA SELATAN,Wilayah I,Suci Ramayanti,,"Polda Sumsel Komplek Perumahan Polri Pakri, Jalan Pakri V, Gedung Bundar. SUMATERA SELATAN"
SPPG Ponorogo Badegan Karangjoho,"Desa Karangjoho, Kecamatan Badegan, Kabupaten Ponorogo, Jawa Tengah",16-10-2025,JAWA TIMUR,Wilayah II,Tika Dwi Ayu Budi Hapsari,,"Ponorogo Badegan Karangjoho Desa Karangjoho, Kecamatan Badegan, Kabupaten Ponorogo, Jawa Tengah JAWA TIMUR"
SPPG Ponorogo Jetis Ngasinan 2,"Jl. Jawa No. 12, Rt 01/ Rw 01, Dukuh Ngasinan, Kecamatan Jetis, Kabupaten Ponorogo, Jawa Timur",09-10-2025,JAWA TIMUR,Wilayah II,Niko Husna Satria,,"Ponorogo Jetis Ngasinan 2 Jl. Jawa No. 12, Rt 01/ Rw 01, Dukuh Ngasinan, Kecamatan Jetis, Kabupaten Ponorogo, Jawa Timur JAWA TIMUR"
SPPG Poso Lore Utara Watumaeta,"Jl. Dongi Dongi Samping Masjid Watumaeta, Kec. Lore Utara, Kab. Poso, Watumaeta, Lore Utara, Kab. Poso, Sulawesi Tengah",29-08-2025,SULAWESI TENGAH,Wilayah III,Dikson Nopriyanto Poku,,"Poso Lore Utara Watumaeta Jl. Dongi Dongi Samping Masjid Watumaeta, Kec. Lore Utara, Kab. Poso, Watumaeta, Lore Utara, Kab. Poso, Sulawesi Tengah SULAWESI TENGAH"
SPPG Poso Pamona Puselemba Sangele,"Jl. Setia Budi no 93, Kel. Sangele, Kec. Pomona Puselemba, Kab. Poso, Sulawesi Tengah",17-03-2025,SULAWESI TENGAH,Wilayah III,Dzulfadhli,Yayasan Cahaya Langowan Nusantara,"Poso Pamona Puselemba Sangele Jl. Setia Budi no 93, Kel. Sangele, Kec. Pomona Puselemba, Kab. Poso, Sulawesi Tengah SULAWESI TENGAH"
SPPG Pringsewu Pagelaran Gumuk Mas 2,"Jl. Sultan Hasanudin, Gumuk Mas, Kec. Pagelaran, Kabupaten Pringsewu, Lampung ",10-10-2025,LAMPUNG,Wilayah I,Erik Adi Pangestu,,"Pringsewu Pagelaran Gumuk Mas 2 Jl. Sultan Hasanudin, Gumuk Mas, Kec. Pagelaran, Kabupaten Pringsewu, Lampung  LAMPUNG"
SPPG Pulau Taliabu Taliabu Barat Wayo,"Jl. Raya Bobong Talo, Desa Wayo, Kecamatan Taliabu Barat Kabupaten&amp;amp;amp;amp;nbsp;Pulau&amp;amp;amp;amp;nbsp;Taliabu, Provinsi Maluku Utara",08-09-2025,MALUKU UTARA,Wilayah III,Moh. Fauzi Panigfat,,"Pulau Taliabu Taliabu Barat Wayo Jl. Raya Bobong Talo, Desa Wayo, Kecamatan Taliabu Barat Kabupaten&amp;amp;amp;amp;nbsp;Pulau&amp;amp;amp;amp;nbsp;Taliabu, Provinsi Maluku Utara MALUKU UTARA"
SPPG Purwakarta Babakancikao Kadumekar,"Kampung Cikadu RT. 012 RW. 04, Desa Kadumekar, Kecamatan Babakancikao, Kabupaten Purwakarta, Provinsi Jawa Barat",22-08-2025,JAWA BARAT,Wilayah II,Rivaldo,,"Purwakarta Babakancikao Kadumekar Kampung Cikadu RT. 012 RW. 04, Desa Kadumekar, Kecamatan Babakancikao, Kabupaten Purwakarta, Provinsi Jawa Barat JAWA BARAT"
SPPG Purwakarta Cibatu Cibukamanah,Kampung Pangkalan 2 RT 003 RW 001 Desa Cibukamanah Kecamatan Cibatu Kabupaten Purwakarta Provinsi Jawa Barat ,30-09-2025,JAWA BARAT,Wilayah II,Dika Andriansyah,,Purwakarta Cibatu Cibukamanah Kampung Pangkalan 2 RT 003 RW 001 Desa Cibukamanah Kecamatan Cibatu Kabupaten Purwakarta Provinsi Jawa Barat  JAWA BARAT
SPPG Purwakarta Maniis Sinargalih,"Kampung Ciloa RT. 011 RW. 03, Desa Sinargalih, Kecamatan Maniis, Kabupaten Purwakarta, Provinsi Jawa Barat",22-08-2025,JAWA BARAT,Wilayah II,Rohendi Ali,,"Purwakarta Maniis Sinargalih Kampung Ciloa RT. 011 RW. 03, Desa Sinargalih, Kecamatan Maniis, Kabupaten Purwakarta, Provinsi Jawa Barat JAWA BARAT"
SPPG Purwakarta Tegalwaru Cadasmekar,"Kampung Babakan Rt04 Rw02, Cadasmekar, Kecamatan Tegalwaru, Kabupaten Purwakarta, Jawa Barat",09-10-2025,JAWA BARAT,Wilayah II,Muhamad Iqbal Syafaat,,"Purwakarta Tegalwaru Cadasmekar Kampung Babakan Rt04 Rw02, Cadasmekar, Kecamatan Tegalwaru, Kabupaten Purwakarta, Jawa Barat JAWA BARAT"
SPPG Purwakarta Wanayasa Simpang,"Kampung Ciherang Rt 004 Rw 002 Desa Simpang Kecamatan Wanayasa Kabupaten Purwakarta, Jawa Barat",25-09-2025,JAWA BARAT,Wilayah II,Fakhri Atallah Tresna Irawan,,"Purwakarta Wanayasa Simpang Kampung Ciherang Rt 004 Rw 002 Desa Simpang Kecamatan Wanayasa Kabupaten Purwakarta, Jawa Barat JAWA BARAT"
SPPG Purworejo Bayan Botodaleman,"Desa Botodaleman Rt 01 / Rw 02, Kecamatan Bayan, Kabupaten Purworejo, Jawa Tengah",01-10-2025,JAWA TENGAH,Wilayah II,Nur Syarifudin,,"Purworejo Bayan Botodaleman Desa Botodaleman Rt 01 / Rw 02, Kecamatan Bayan, Kabupaten Purworejo, Jawa Tengah JAWA TENGAH"
SPPG Purworejo Gebang Winonglor,"Karangendhep Rt.002 Rw. 004, Desa Winonglor, Kecamatan Gebang, Kabupaten Purworejo, Jawa Tengah",07-09-2025,JAWA TENGAH,Wilayah II,Anjas Kartikantoro,,"Purworejo Gebang Winonglor Karangendhep Rt.002 Rw. 004, Desa Winonglor, Kecamatan Gebang, Kabupaten Purworejo, Jawa Tengah JAWA TENGAH"
SPPG Raja Ampat Kota Waisai Waisai 2,"JL Abdul Arfan Kel. Waisai, Dist. Kota Waisai",21-04-2025,PAPUA BARAT DAYA,Wilayah III,Erol Triadi Huninhatu,Yayasan Keadilan Papua Sejahtera,"Raja Ampat Kota Waisai Waisai 2 JL Abdul Arfan Kel. Waisai, Dist. Kota Waisai PAPUA BARAT DAYA"
SPPG Raja Ampat Kota Waisai Waisai 3,"jln. batanta  Waisai, Waisai, Kota Waisai, Kab. Raja Ampat, Papua Barat Daya",02-06-2025,PAPUA BARAT DAYA,Wilayah III,Firstya Gunawan Jati,,"Raja Ampat Kota Waisai Waisai 3 jln. batanta  Waisai, Waisai, Kota Waisai, Kab. Raja Ampat, Papua Barat Daya PAPUA BARAT DAYA"
SPPG Rejang Lebong Curup Tengah Talang Rimbo Baru,"Jalan Iskandar Ong No. 43, RT 009 RW 003, Kelurahan Talang Rimbo Baru, Kecamatan Curup Tengah, Kabupaten Rejang Lebong, Provinsi Bengkulu ",04-08-2025,BENGKULU,Wilayah I,Farid Abdullah ,,"Rejang Lebong Curup Tengah Talang Rimbo Baru Jalan Iskandar Ong No. 43, RT 009 RW 003, Kelurahan Talang Rimbo Baru, Kecamatan Curup Tengah, Kabupaten Rejang Lebong, Provinsi Bengkulu  BENGKULU"
SPPG Rembang Rembang Padaran,PERUMAHAN TERRALESTARI HARMONI BLOK F 95 - F 98. DESA PADARAN RT.001/RW.005. KECAMATAN REMBANG. KABUPATEN REMBANG. PROVINSI JAWA TENGAH,21-07-2025,JAWA TENGAH,Wilayah II,DIMAS ANANDA PUTRA PRATAMA S.M,Yayasan Arunika Bumi Jaya,Rembang Rembang Padaran PERUMAHAN TERRALESTARI HARMONI BLOK F 95 - F 98. DESA PADARAN RT.001/RW.005. KECAMATAN REMBANG. KABUPATEN REMBANG. PROVINSI JAWA TENGAH JAWA TENGAH
SPPG Rembang Rembang Padaran 2,"Perumahan Terralestari Harmoni Blok. D19-D23 &amp;amp;amp;amp;amp; D25, Desa Padaran Rt.002/Rw.005, Kecamatan Rembang, Kabupaten Rembang, Propinsi Jawa Tengah 59219, Padaran, Rembang, Kab. Rembang, Jawa Tengah",04-09-2025,JAWA TENGAH,Wilayah II,Dafa Archi Laksana,,"Rembang Rembang Padaran 2 Perumahan Terralestari Harmoni Blok. D19-D23 &amp;amp;amp;amp;amp; D25, Desa Padaran Rt.002/Rw.005, Kecamatan Rembang, Kabupaten Rembang, Propinsi Jawa Tengah 59219, Padaran, Rembang, Kab. Rembang, Jawa Tengah JAWA TENGAH"
SPPG Rembang Sluke Sluke,"Dukuh Tawang Rejo, Desa Sluke, RT 04/RW 04, Kec. Sluke, Kab. Rembang",17-02-2025,JAWA TENGAH,Wilayah II,Aprilia Qoulan Syakila,Yayasan Manbaul Hikam Sluke,"Rembang Sluke Sluke Dukuh Tawang Rejo, Desa Sluke, RT 04/RW 04, Kec. Sluke, Kab. Rembang JAWA TENGAH"
SPPG Rembang Sulang Sulang,"Rt 01. Rw 06, Dukuh Tegalgede, Desa Sulang, Kecamatan Sulang, Kab. Rembang, Jawa Tengah",07-09-2025,JAWA TENGAH,Wilayah II,Muhammad Arsa Bhuwana Adi,,"Rembang Sulang Sulang Rt 01. Rw 06, Dukuh Tegalgede, Desa Sulang, Kecamatan Sulang, Kab. Rembang, Jawa Tengah JAWA TENGAH"
SPPG Rokan Hilir Batu Hampar Bantayan Hilir,Jl. Lintas Ujung Tanjung-Bagansiapiapi. Km 35. Pematang Batu Hampar. Kec. Batu Hampar. Rokan Hilir,17-03-2025,RIAU,Wilayah I,Hafis Saputra,Yayasan Intan Permata Rokan Hilir,Rokan Hilir Batu Hampar Bantayan Hilir Jl. Lintas Ujung Tanjung-Bagansiapiapi. Km 35. Pematang Batu Hampar. Kec. Batu Hampar. Rokan Hilir RIAU
SPPG Rokan Hulu Kepenuhan Kepenuhan Barat,Sei Emas Desa Kepenuhan Barat RT 002 RW 009 Dusun Sei Kepenuhan Kec. Kepenuhan Kab Rokan Hulu Provinsi Riau,21-08-2025,RIAU,Wilayah I,Khoiriyah,,Rokan Hulu Kepenuhan Kepenuhan Barat Sei Emas Desa Kepenuhan Barat RT 002 RW 009 Dusun Sei Kepenuhan Kec. Kepenuhan Kab Rokan Hulu Provinsi Riau RIAU
SPPG Sambas Sambas Dalam Kaum 3,"Dusun Sukamantri Komplek Didis Permai Jalur 1 No 02, Desa Dalam Kaum, Kec. Sambas, Kab. Sambas, Kalimantan Barat",06-10-2025,KALIMANTAN BARAT,Wilayah III,Septiyola Prayokta,,"Sambas Sambas Dalam Kaum 3 Dusun Sukamantri Komplek Didis Permai Jalur 1 No 02, Desa Dalam Kaum, Kec. Sambas, Kab. Sambas, Kalimantan Barat KALIMANTAN BARAT"
SPPG Sambas Sambas Saing Rambi,"Jalan Terigas, Dusun Saing Rambi, Desa Rambi, RT 01, RW 01 Kec. Sambas, Kab. Sambas",14-04-2025,KALIMANTAN BARAT,Wilayah III,maulana imamul azis,Yayasan Mandiri Pangan Berdikari,"Sambas Sambas Saing Rambi Jalan Terigas, Dusun Saing Rambi, Desa Rambi, RT 01, RW 01 Kec. Sambas, Kab. Sambas KALIMANTAN BARAT"
SPPG Sampang Camplong Banjar Talela,"Desa Banjar Talela Kec Camplong Kab Sampang Jatim, Banjar Talela, Camplong, Kabupaten Sampang, Jawa Timur",27-09-2025,JAWA TIMUR,Wilayah II,Randan,,"Sampang Camplong Banjar Talela Desa Banjar Talela Kec Camplong Kab Sampang Jatim, Banjar Talela, Camplong, Kabupaten Sampang, Jawa Timur JAWA TIMUR"
SPPG Sampang Camplong Tamba`an,"SPPG YSDP Babur Rizki Desa Tambaan, Kecamatan Camplong, Kabupaten Sampang, Provinsi Jawa Timur",31-07-2025,JAWA TIMUR,Wilayah II,Moh. Abdhalul Farizi,,"Sampang Camplong Tamba`an  YSDP Babur Rizki Desa Tambaan, Kecamatan Camplong, Kabupaten Sampang, Provinsi Jawa Timur JAWA TIMUR"
SPPG Sampang Jrengik Jungkarang,"Jalan Raya Jungkarang, Desa Jungkarang, Kecamatan Jrengik, Kabupaten Sampang, Provinsi Jawa Timur",24-08-2025,JAWA TIMUR,Wilayah II,Rahmad Ainul Faqih,,"Sampang Jrengik Jungkarang Jalan Raya Jungkarang, Desa Jungkarang, Kecamatan Jrengik, Kabupaten Sampang, Provinsi Jawa Timur JAWA TIMUR"
SPPG Sampang Jrengik Taman 2,Jl. Raya Jrengik Desa Taman Ciken Kecamatan Jrengik Kabupaten Sampang Provinsi Jawa Timur,01-09-2025,JAWA TIMUR,Wilayah II,Abdillah Nauvally Rizky,,Sampang Jrengik Taman 2 Jl. Raya Jrengik Desa Taman Ciken Kecamatan Jrengik Kabupaten Sampang Provinsi Jawa Timur JAWA TIMUR
SPPG Sampang Karangpenang Blu Uran,"Dusun Nagasari Timur, Desa Blu`uran, Kecamatan Karangpenang, Kabupaten Sampang, Provinsi Jawa Timur",29-07-2025,JAWA TIMUR,Wilayah II,Moh Junaidi,,"Sampang Karangpenang Blu Uran Dusun Nagasari Timur, Desa Blu`uran, Kecamatan Karangpenang, Kabupaten Sampang, Provinsi Jawa Timur JAWA TIMUR"
SPPG Sampang Karangpenang Bulmatet,"Dusun Grunggungan Timur, Desa Bulmatet, Kecamatan Karang Penang, Kabupaten Sampang, Jawa Timur",21-08-2025,JAWA TIMUR,Wilayah II,Khairul Umam,,"Sampang Karangpenang Bulmatet Dusun Grunggungan Timur, Desa Bulmatet, Kecamatan Karang Penang, Kabupaten Sampang, Jawa Timur JAWA TIMUR"
SPPG Sampang Robatal Gunung Rancak 2,"`SPPG YSPD Al-Ihsan Desa Gunung Rancak, Kecamatan Robatal, Kabupaten Sampang, Provinsi Jawa Timur`",31-07-2025,JAWA TIMUR,Wilayah II,Efendi Budiono,,"Sampang Robatal Gunung Rancak 2 ` YSPD Al-Ihsan Desa Gunung Rancak, Kecamatan Robatal, Kabupaten Sampang, Provinsi Jawa Timur` JAWA TIMUR"
SPPG Sampang Robatal Robatal,"Desa Robatal Kec Robatal Kab Sampang Jatim, Robatal, Robatal, Kab. Sampang, Jawa Timur",30-09-2025,JAWA TIMUR,Wilayah II,Solihin,,"Sampang Robatal Robatal Desa Robatal Kec Robatal Kab Sampang Jatim, Robatal, Robatal, Kab. Sampang, Jawa Timur JAWA TIMUR"
SPPG Sanggau Tayan Hilir Pedalaman,"Jl. Gusti Dja`Far Desa Pedalaman Kecamatan Tayan Hilir Kabupaten Sanggau Kode Pos 78564, Pedalaman, Tayan Hilir, Kab. Sanggau, Kalimantan Barat",06-09-2025,KALIMANTAN BARAT,Wilayah III,Rizki Afrianto Wisnu Wardana,,"Sanggau Tayan Hilir Pedalaman Jl. Gusti Dja`Far Desa Pedalaman Kecamatan Tayan Hilir Kabupaten Sanggau Kode Pos 78564, Pedalaman, Tayan Hilir, Kab. Sanggau, Kalimantan Barat KALIMANTAN BARAT"
SPPG Sarmi Sarmi Lembah Neidam,"Jln. Pemda 1 Lembah Neidam, Kecamatan Sarmi Kabupaten Sarmi",05-05-2025,P A P U A,Wilayah III,Amelia Beno,,"Sarmi Sarmi Lembah Neidam Jln. Pemda 1 Lembah Neidam, Kecamatan Sarmi Kabupaten Sarmi P A P U A"
SPPG Seram Bagian Barat Taniwel Taniwel,Jl.Lintas Seram Kairatu Desa Kairatu Kec. Kairatu,05-05-2025,MALUKU,Wilayah III,Mega Novari Tanikwele ,Yayasan Seram Raya Al Aziz,Seram Bagian Barat Taniwel Taniwel Jl.Lintas Seram Kairatu Desa Kairatu Kec. Kairatu MALUKU
SPPG Serdang Bedagai Sei Rampah Pergulaan,"JL. BELIDAAN - DOLOK MASIHUL DUSUN V, DESA PERGULAAN, KECAMATAN SEI RAMPAH, KABUPATEN SERDANG BEDAGAI",02-06-2025,SUMATERA UTARA,Wilayah I,Fitri Insani Harahap,Yayasan Sinar Cahaya Keluarga,"Serdang Bedagai Sei Rampah Pergulaan JL. BELIDAAN - DOLOK MASIHUL DUSUN V, DESA PERGULAAN, KECAMATAN SEI RAMPAH, KABUPATEN SERDANG BEDAGAI SUMATERA UTARA"
SPPG Siak Kandis Libo Jaya,"Jl. Hinduk Sutan Bertuah, Kelurahan Libo Jaya, Kecamatan Kandis, Kabupaten Siak, Provinsi Riau",29-09-2025,RIAU,Wilayah I,Fauzi Nofandra Hermansyah,,"Siak Kandis Libo Jaya Jl. Hinduk Sutan Bertuah, Kelurahan Libo Jaya, Kecamatan Kandis, Kabupaten Siak, Provinsi Riau RIAU"
SPPG Siak Sabak Auh Bandar Pedada,"Jl. Hangtuah Rt02/Rw01, Desa Bandar Pedada, Kecamatan Sabak Auh, Kabupaten Siak Riau 28684",03-09-2025,RIAU,Wilayah I,Sholihin,,"Siak Sabak Auh Bandar Pedada Jl. Hangtuah Rt02/Rw01, Desa Bandar Pedada, Kecamatan Sabak Auh, Kabupaten Siak Riau 28684 RIAU"
SPPG Siak Sabak Auh Bandar Pedada 2,Jl. Bob Arah Langkat Rt. 01 Rw. 01 Dusun 01 Desa Bandar Pedada Kecamatan Sabak Auh Kabupaten Siak Provinsi Riau,07-10-2025,RIAU,Wilayah I,Sudarmawan,,Siak Sabak Auh Bandar Pedada 2 Jl. Bob Arah Langkat Rt. 01 Rw. 01 Dusun 01 Desa Bandar Pedada Kecamatan Sabak Auh Kabupaten Siak Provinsi Riau RIAU
SPPG Siak Sungai Apit Penyengat,"Jl. Batin Rimbun Rt 01 Rk  01 Dusun I Rt.Rw : 01.01, Penyengat, Kec. Sungai Apit, Kab. Siak, Riau",04-10-2025,RIAU,Wilayah I,M.Syukri,,"Siak Sungai Apit Penyengat Jl. Batin Rimbun Rt 01 Rk  01 Dusun I Rt.Rw : 01.01, Penyengat, Kec. Sungai Apit, Kab. Siak, Riau RIAU"
SPPG Siak Tualang Perawang Barat,"Jl. Sultan Syarif Qasim No.56, Rt.10, Rw.06, Km.06 Perawang Barat, Tualang., Perawang Barat, Tualang, Kab. Siak, Riau",18-09-2025,RIAU,Wilayah I,Nurul Ikhsan,,"Siak Tualang Perawang Barat Jl. Sultan Syarif Qasim No.56, Rt.10, Rw.06, Km.06 Perawang Barat, Tualang., Perawang Barat, Tualang, Kab. Siak, Riau RIAU"
SPPG Siak Tualang Pinang Sebatang Timur,"Jalan Pandan No. 76, Rt 002 Rw 006, Desa Pinang Sebatang Timur, Kecamatan Tualang, Kabupaten Siak, Provinsi Riau.",28-08-2025,RIAU,Wilayah I,Fadila Afriansyah,,"Siak Tualang Pinang Sebatang Timur Jalan Pandan No. 76, Rt 002 Rw 006, Desa Pinang Sebatang Timur, Kecamatan Tualang, Kabupaten Siak, Provinsi Riau. RIAU"
SPPG Sidenreng Rappang Tellu Limpoe Pajalele,"Jl. Pallawa No. 2 Kelurahan Pajalele Kec. Tellu Limpoe Kab. Sidenreng Rappang Prov. Sulawesi Selatan, Pajalele, Tellu Limpoe, KAB. Sidenreng Rappang, Sulawesi Selatan",26-05-2025,SULAWESI SELATAN,Wilayah III,Andik Setiawan,Yayasan Andi Amar Maruf Sulaiman,"Sidenreng Rappang Tellu Limpoe Pajalele Jl. Pallawa No. 2 Kelurahan Pajalele Kec. Tellu Limpoe Kab. Sidenreng Rappang Prov. Sulawesi Selatan, Pajalele, Tellu Limpoe, KAB. Sidenreng Rappang, Sulawesi Selatan SULAWESI SELATAN"
SPPG Sigi Dolo Kotapulu,Jl. Poros Habib Muh. Aljufri,19-05-2025,SULAWESI TENGAH,Wilayah III,Aprilini Kartini Makaudis,Yayasan Cahaya Langowan Nusantara,Sigi Dolo Kotapulu Jl. Poros Habib Muh. Aljufri SULAWESI TENGAH
SPPG Sikka Alok Timur Nangameting,"Jalan Patirangga RT. 001/RW. 002, Kelurahan Beru, Kecamatan Alok Timur, Kabupaten Sikka,Provinsi Nusa Tenggara Timur",19-08-2025,NUSA TENGGARA TIMUR,Wilayah III,Maria Margareta Biba,,"Sikka Alok Timur Nangameting Jalan Patirangga RT. 001/RW. 002, Kelurahan Beru, Kecamatan Alok Timur, Kabupaten Sikka,Provinsi Nusa Tenggara Timur NUSA TENGGARA TIMUR"
SPPG Simeulue Simeulue Timur Air Pinang,"Jalan Sinabang - Sibigo Kecamatan Simeulue Timur - Kabupaten Simeulue - Aceh, Air Pinang, Simeulue Timur, Kab. Simeulue, Aceh",08-09-2025,ACEH,Wilayah I,Dodi Dola Saputra,,"Simeulue Simeulue Timur Air Pinang Jalan Sinabang - Sibigo Kecamatan Simeulue Timur - Kabupaten Simeulue - Aceh, Air Pinang, Simeulue Timur, Kab. Simeulue, Aceh ACEH"
SPPG Simeulue Teupah Barat Awe Kecil,Jl. Bahnurullah Desa Awe Kecil Kecamatan Teupah Barat Kabupaten Simeulue Provinsi Aceh,19-09-2025,ACEH,Wilayah I,Aden Gunawan,,Simeulue Teupah Barat Awe Kecil Jl. Bahnurullah Desa Awe Kecil Kecamatan Teupah Barat Kabupaten Simeulue Provinsi Aceh ACEH
SPPG Sinjai Tellu Limpoe Kalobba,"Desa Kalobba, Kecamatan Tellu Limpoe, Kabupaten Sinjai - Sulawesi Selatan, Kalobba, Tellu Limpoe, Kab. Sinjai, Sulawesi Selatan",12-09-2025,SULAWESI SELATAN,Wilayah III,Muh. Adam,,"Sinjai Tellu Limpoe Kalobba Desa Kalobba, Kecamatan Tellu Limpoe, Kabupaten Sinjai - Sulawesi Selatan, Kalobba, Tellu Limpoe, Kab. Sinjai, Sulawesi Selatan SULAWESI SELATAN"
SPPG Solok Kubung Selayo,"Jalan Sari Bulan, Kelurahan Selayo, Kecamatan Kubung, Kabupaten Solok, Provinsi Sumatera Barat",25-08-2025,SUMATERA BARAT,Wilayah I,Zakarya Anwar,,"Solok Kubung Selayo Jalan Sari Bulan, Kelurahan Selayo, Kecamatan Kubung, Kabupaten Solok, Provinsi Sumatera Barat SUMATERA BARAT"
SPPG Sragen Kalijambe Karangjati 2,"Jl. Solo-Purwodadi Km 17, Dusun 1, Kelurahan Karangjati, Kecamatan Kalijambe, Kabupaten Sragen, Provinsi Jawa Tengah",01-09-2025,JAWA TENGAH,Wilayah II,Wahyu Prasetyo,,"Sragen Kalijambe Karangjati 2 Jl. Solo-Purwodadi Km 17, Dusun 1, Kelurahan Karangjati, Kecamatan Kalijambe, Kabupaten Sragen, Provinsi Jawa Tengah JAWA TENGAH"
SPPG Sragen Plupuh Ngrombo,"Dukuh Wirosari, Rt 019, Desa Ngombro, Kecamatan  Plupuh, Kabupaten Sragen, Jawa Tengah",24-09-2025,JAWA TENGAH,Wilayah II,Wahyu Budi Utomo,,"Sragen Plupuh Ngrombo Dukuh Wirosari, Rt 019, Desa Ngombro, Kecamatan  Plupuh, Kabupaten Sragen, Jawa Tengah JAWA TENGAH"
SPPG Sragen Sidoharjo Tenggak,"Ngagel Rt.18/06, Tenggak, Kec. Sidoharjo, Kab. Sragen, Jawa Tengah, Tenggak, Sidoharjo, Kab. Sragen, Jawa Tengah",27-09-2025,JAWA TENGAH,Wilayah II,Krisna Ilham Saputra,,"Sragen Sidoharjo Tenggak Ngagel Rt.18/06, Tenggak, Kec. Sidoharjo, Kab. Sragen, Jawa Tengah, Tenggak, Sidoharjo, Kab. Sragen, Jawa Tengah JAWA TENGAH"
SPPG Subang Cisalak Cigadog,"Kampung Kapuk Nahun Rt 01 Rw 01, Cigadog, Cisalak, Kabupaten Subang, Jawa Barat",20-09-2025,JAWA BARAT,Wilayah II,Dindin Nugraha,,"Subang Cisalak Cigadog Kampung Kapuk Nahun Rt 01 Rw 01, Cigadog, Cisalak, Kabupaten Subang, Jawa Barat JAWA BARAT"
SPPG Subang Cisalak Darmaga 2,Kampung Darmaga Rt 001 Rw 002 Desa Darmaga Kecamatan Cisalak Kabupaten Subang Jawa Barat,11-10-2025,JAWA BARAT,Wilayah II,Krisna Trisetia Anggara,,Subang Cisalak Darmaga 2 Kampung Darmaga Rt 001 Rw 002 Desa Darmaga Kecamatan Cisalak Kabupaten Subang Jawa Barat JAWA BARAT
SPPG Subang Cisalak Pakuhaji 2,"Kampung Ganghui RT 022 / RW 003, Desa Pakuhaji, Kecamatan Cisalak, Kabupaten Subang, Provinsi Jawa Barat",11-10-2025,JAWA BARAT,Wilayah II,Mareta Herliana Sari Nur Ilahi,,"Subang Cisalak Pakuhaji 2 Kampung Ganghui RT 022 / RW 003, Desa Pakuhaji, Kecamatan Cisalak, Kabupaten Subang, Provinsi Jawa Barat JAWA BARAT"
SPPG Subang Pamanukan Rancasari 2,"Dusun Sarimukti Rt 2 / Rw 1 , Kel. Rancasari, Kecamatan Pamanukan, Kabupaten Subang, Jawa Barat",13-10-2025,JAWA BARAT,Wilayah II,Bagas Anjasmara,,"Subang Pamanukan Rancasari 2 Dusun Sarimukti Rt 2 / Rw 1 , Kel. Rancasari, Kecamatan Pamanukan, Kabupaten Subang, Jawa Barat JAWA BARAT"
SPPG Sukabumi Ciambar Munjul 2,"Kampung Pasir Angin RT. 005 RW. 009, Desa Munjul, Kecamatan Ciambar, Kabupaten Sukabumi, Provinsi Jawa Barat",24-08-2025,JAWA BARAT,Wilayah II,Ghina Aidah Nabilah,,"Sukabumi Ciambar Munjul 2 Kampung Pasir Angin RT. 005 RW. 009, Desa Munjul, Kecamatan Ciambar, Kabupaten Sukabumi, Provinsi Jawa Barat JAWA BARAT"
