NamaSPPG,Alamat,Tanggal Opsnal,Provinsi,wilayah,Nama Kepala,Nama Yayasan,Alamat_lengkap
SPPG Mamuju Mamuju Karema 2,"Jl. Musa Karim, RT 000/RW 000",02-06-2025,SULAWESI BARAT,Wilayah III,Ahmad Fauzan Muhammad,,"Mamuju Mamuju Karema 2 Jl. Musa Karim, RT 000/RW 000 SULAWESI BARAT"
SPPG Mamuju Papalang Boda-Boda,Jl.. Poros Desa Boda Boda Kecamatan Papalang Kabupaten Mamuju Provinsi Sulbar,05-09-2025,SULAWESI BARAT,Wilayah III,Rasdia,,Mamuju Papalang Boda-Boda Jl.. Poros Desa Boda Boda Kecamatan Papalang Kabupaten Mamuju Provinsi Sulbar SULAWESI BARAT
SPPG Mamuju Papalang Bonda,"Dusun Jati, Desa Bonda, Papalang, Mamuju, Sulawesi Barat, Bonda, Papalang, Kab. Mamuju, Sulawesi Barat",20-09-2025,SULAWESI BARAT,Wilayah III,Marzukli,,"Mamuju Papalang Bonda Dusun Jati, Desa Bonda, Papalang, Mamuju, Sulawesi Barat, Bonda, Papalang, Kab. Mamuju, Sulawesi Barat SULAWESI BARAT"
SPPG Mamuju Tapalang Tampalang,Dusun Kacci-Kacci Desa Tampalang Kecamatan Tapalang  Kabupaten Mamuju Provinsi Sulawesi Barat,26-09-2025,SULAWESI BARAT,Wilayah III,Nur Endeng,,Mamuju Tapalang Tampalang Dusun Kacci-Kacci Desa Tampalang Kecamatan Tapalang  Kabupaten Mamuju Provinsi Sulawesi Barat SULAWESI BARAT
SPPG Mamuju Tengah Pangale Pangale 2,"Jl. Poros Desa Polo Pangale Kecamatan Pangale Kabupaten Mamuju Tengah Provinsi Sulawesi Barat, Polo Pangale, Pangale, Kabupaten Mamuju Tengah, Sulawesi Barat",01-09-2025,SULAWESI BARAT,Wilayah III,Yantrisno P. Tampang,,"Mamuju Tengah Pangale Pangale 2 Jl. Poros Desa Polo Pangale Kecamatan Pangale Kabupaten Mamuju Tengah Provinsi Sulawesi Barat, Polo Pangale, Pangale, Kabupaten Mamuju Tengah, Sulawesi Barat SULAWESI BARAT"
SPPG Mamuju Tommo Campaloga,Jl. Poros Desa Campaloga Desa Campaloga Kecamatan Tommo Kabupaten Mamuju Provinsi Sulawesi Barat,02-10-2025,SULAWESI BARAT,Wilayah III,Dinasari,,Mamuju Tommo Campaloga Jl. Poros Desa Campaloga Desa Campaloga Kecamatan Tommo Kabupaten Mamuju Provinsi Sulawesi Barat SULAWESI BARAT
SPPG Mandailing Natal Siabu Sibaruang,"Jl. Lintas Sumatra Bukit Tinggi Padang Sidempuan, Desa Sibaruang, Kec. Siabu, Kab. Mandailing Natal, Sumatera Utara",13-10-2025,SUMATERA UTARA,Wilayah I,Irwan Efendi Hsb,,"Mandailing Natal Siabu Sibaruang Jl. Lintas Sumatra Bukit Tinggi Padang Sidempuan, Desa Sibaruang, Kec. Siabu, Kab. Mandailing Natal, Sumatera Utara SUMATERA UTARA"
SPPG Manggarai Langke Rembong Tadong,"LANGGO, RT:009, RW:005, KEL. CAREP, KEC. LANGKE REMBONG, KAB. MANGGARAI, PROV. NTT",05-05-2025,NUSA TENGGARA TIMUR,Wilayah III,Yosef Hambur,Yayasan Komunitas Inovasi Rumpun Bambu,"Manggarai Langke Rembong Tadong LANGGO, RT:009, RW:005, KEL. CAREP, KEC. LANGKE REMBONG, KAB. MANGGARAI, PROV. NTT NUSA TENGGARA TIMUR"
SPPG Maros Mandai Baji Mangngai,"Jl. Tupolev, Lanud Sultan Hasanuddin, Kel. Bali Mangngai, Kec. Mandai, Kab. Maros, Baji Mangngai, Mandai, Kab. Maros, Sulawesi Selatan",10-09-2025,SULAWESI SELATAN,Wilayah III,Muhammad Ilyas,,"Maros Mandai Baji Mangngai Jl. Tupolev, Lanud Sultan Hasanuddin, Kel. Bali Mangngai, Kec. Mandai, Kab. Maros, Baji Mangngai, Mandai, Kab. Maros, Sulawesi Selatan SULAWESI SELATAN"
SPPG Maros Marusu Ma`rumpa 3,Dusun Bontoulu RT 001 RW 000 Desa Tellumpoccoe Kec.Marusu Kab.Maros (Ruko Azera Regency),30-08-2025,SULAWESI SELATAN,Wilayah III,Muhammad Ary Putra. P,,Maros Marusu Ma`rumpa 3 Dusun Bontoulu RT 001 RW 000 Desa Tellumpoccoe Kec.Marusu Kab.Maros (Ruko Azera Regency) SULAWESI SELATAN
SPPG Maros Marusu Ma`rumpa 4,Jalan Ruko Marumpa Nomor 21/22,30-08-2025,SULAWESI SELATAN,Wilayah III,Nurfaidah,,Maros Marusu Ma`rumpa 4 Jalan Ruko Marumpa Nomor 21/22 SULAWESI SELATAN
SPPG Melawi Belimbing Batu Buil,"Jl. Lintas Kalimantan Poros Tengah, Desa Batu Buil, Kecamatan Belimbing, Kabupaten Melawi, Kalimantan Barat, Batu Buil, Belimbing, Kabupaten Melawi, Kalimantan Barat",24-09-2025,KALIMANTAN BARAT,Wilayah III,Christoforus Yosi Sebastianto,,"Melawi Belimbing Batu Buil Jl. Lintas Kalimantan Poros Tengah, Desa Batu Buil, Kecamatan Belimbing, Kabupaten Melawi, Kalimantan Barat, Batu Buil, Belimbing, Kabupaten Melawi, Kalimantan Barat KALIMANTAN BARAT"
SPPG Mempawah Jongkat Wajok Hilir 2,"Jl. Simpang Empat, Rt 001, Rw 010, Kelurahan Wajok Hilir, Kecamatan Jongkat, Kabupaten Mempawah, Provinsi Kalimantan Barat",07-10-2025,KALIMANTAN BARAT,Wilayah III,Muslimin,,"Mempawah Jongkat Wajok Hilir 2 Jl. Simpang Empat, Rt 001, Rw 010, Kelurahan Wajok Hilir, Kecamatan Jongkat, Kabupaten Mempawah, Provinsi Kalimantan Barat KALIMANTAN BARAT"
SPPG Mempawah Mempawah Hilir Pasir,"Jl. Raden Patih Gumantar RT/RW 013/005, Desa Pasir, Kec. Mempawah Hilir, Kabupaten Mempawah Provinsi Kalimantan Barat",04-08-2025,KALIMANTAN BARAT,Wilayah III,Fidella Putri Anjani,,"Mempawah Mempawah Hilir Pasir Jl. Raden Patih Gumantar RT/RW 013/005, Desa Pasir, Kec. Mempawah Hilir, Kabupaten Mempawah Provinsi Kalimantan Barat KALIMANTAN BARAT"
